,tourney_id,tourney_name,surface,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace_pct,w_df_pct,w_1stIn_pct,w_2ndIn_pct,w_1stWon_pct,w_2ndWon_pct,w_GmsWon,w_GmsLoss,l_ace_pct,l_df_pct,l_1stIn_pct,l_2ndIn_pct,l_1stWon_pct,l_2ndWon_pct,year,winner_age_bucket
201,2000-580,Australian Open,Hard,G,20000117,47,102494,Tomas Behrend,R,193.0,GER,25.1,101897,Fernando Meligeni,L,180.0,BRA,28.77,6-2 4-6 6-7(5) 6-3 6-0,5,R128,152.0,6.0,3.0,132.0,86.0,65.0,29.0,22.0,9.0,12.0,7.0,11.0,153.0,87.0,56.0,31.0,23.0,12.0,20.0,106.0,362.0,28.0,1011.0,0.05,0.02,0.65,0.35,0.49,0.22,27.0,18.0,0.05,0.07,0.57,0.43,0.37,0.2,2000,25-29
207,2000-580,Australian Open,Hard,G,20000117,53,103507,Juan Carlos Ferrero,R,183.0,ESP,19.93,102401,Scott Draper,L,178.0,AUS,25.62,7-6(3) 6-3 7-6(3),5,R128,105.0,8.0,2.0,96.0,54.0,44.0,30.0,16.0,1.0,2.0,9.0,7.0,103.0,56.0,41.0,25.0,17.0,2.0,4.0,40.0,807.0,200.0,176.0,0.08,0.02,0.56,0.44,0.46,0.31,17.0,16.0,0.09,0.07,0.54,0.46,0.4,0.24,2000,<20
224,2000-580,Australian Open,Hard,G,20000117,70,103714,Andreas Vinciguerra,L,180.0,SWE,18.91,102233,Leander Paes,R,178.0,IND,26.58,7-6(3) 6-4 6-3,5,R64,106.0,10.0,3.0,95.0,63.0,49.0,21.0,15.0,3.0,4.0,10.0,4.0,96.0,59.0,42.0,19.0,16.0,4.0,7.0,99.0,405.0,137.0,277.0,0.11,0.03,0.66,0.34,0.52,0.22,17.0,14.0,0.1,0.04,0.61,0.39,0.44,0.2,2000,<20
225,2000-580,Australian Open,Hard,G,20000117,71,102271,Hicham Arazi,L,175.0,MAR,26.25,102966,Fredrik Jonsson,R,193.0,SWE,22.81,6-3 6-4 6-4,5,R64,107.0,11.0,5.0,103.0,63.0,54.0,17.0,14.0,6.0,6.0,3.0,0.0,100.0,57.0,42.0,19.0,15.0,8.0,11.0,41.0,800.0,123.0,313.0,0.11,0.05,0.61,0.39,0.52,0.17,17.0,12.0,0.03,0.0,0.57,0.43,0.42,0.19,2000,25-29
238,2000-580,Australian Open,Hard,G,20000117,84,102796,Magnus Norman,R,188.0,SWE,23.63,101150,Gianluca Pozzi,L,180.0,ITA,34.58,6-4 6-3 6-4,5,R64,119.0,5.0,5.0,87.0,62.0,40.0,14.0,14.0,8.0,11.0,4.0,2.0,88.0,35.0,25.0,23.0,15.0,5.0,12.0,11.0,1655.0,82.0,465.0,0.06,0.06,0.71,0.29,0.46,0.16,18.0,11.0,0.05,0.02,0.4,0.6,0.28,0.26,2000,20-24
241,2000-580,Australian Open,Hard,G,20000117,87,102223,Karim Alami,R,185.0,MAR,26.65,103566,Michael Llodra,L,190.0,FRA,19.67,7-6(4) 6-3 6-2,5,R64,95.0,6.0,3.0,92.0,46.0,39.0,28.0,14.0,3.0,4.0,6.0,6.0,82.0,49.0,35.0,14.0,15.0,1.0,5.0,35.0,870.0,263.0,122.0,0.07,0.03,0.5,0.5,0.42,0.3,17.0,12.0,0.07,0.07,0.6,0.4,0.43,0.17,2000,25-29
249,2000-580,Australian Open,Hard,G,20000117,95,102905,Stefan Koubek,L,175.0,AUT,23.04,101917,Grant Stafford,R,188.0,RSA,28.64,5-7 7-5 2-6 6-2 6-3,5,R64,158.0,7.0,4.0,161.0,101.0,67.0,30.0,25.0,13.0,20.0,5.0,12.0,143.0,74.0,53.0,32.0,24.0,5.0,13.0,43.0,799.0,472.0,46.0,0.04,0.02,0.63,0.37,0.42,0.19,26.0,23.0,0.03,0.08,0.52,0.48,0.37,0.22,2000,20-24
253,2000-580,Australian Open,Hard,G,20000117,99,102765,Nicolas Escude,R,185.0,FRA,23.79,103714,Andreas Vinciguerra,L,180.0,SWE,18.91,6-4 6-4 6-3,5,R32,117.0,14.0,1.0,83.0,40.0,31.0,27.0,15.0,2.0,4.0,3.0,3.0,83.0,39.0,24.0,24.0,14.0,7.0,12.0,34.0,877.0,99.0,405.0,0.17,0.01,0.48,0.52,0.37,0.33,18.0,11.0,0.04,0.04,0.47,0.53,0.29,0.29,2000,20-24
254,2000-580,Australian Open,Hard,G,20000117,100,102271,Hicham Arazi,L,175.0,MAR,26.25,102950,Fernando Vicente,R,180.0,ESP,22.86,6-3 6-3 6-2,5,R32,87.0,1.0,1.0,83.0,50.0,38.0,18.0,13.0,3.0,4.0,3.0,0.0,76.0,48.0,27.0,13.0,13.0,3.0,9.0,41.0,800.0,55.0,694.0,0.01,0.01,0.6,0.4,0.46,0.22,18.0,8.0,0.04,0.0,0.63,0.37,0.36,0.17,2000,25-29
256,2000-580,Australian Open,Hard,G,20000117,102,101792,Slava Dosedel,R,183.0,CZE,29.43,102644,Franco Squillari,L,183.0,ARG,24.41,7-5 6-2 6-3,5,R32,131.0,3.0,0.0,90.0,76.0,58.0,4.0,14.0,4.0,5.0,7.0,7.0,110.0,58.0,37.0,25.0,15.0,13.0,18.0,64.0,603.0,48.0,723.0,0.03,0.0,0.84,0.16,0.64,0.04,18.0,11.0,0.06,0.06,0.53,0.47,0.34,0.23,2000,25-29
261,2000-580,Australian Open,Hard,G,20000117,107,101965,Wayne Ferreira,R,185.0,RSA,28.34,101532,Francisco Clavet,L,183.0,ESP,31.23,6-3 6-4 3-6 6-3,5,R32,147.0,15.0,5.0,112.0,70.0,55.0,21.0,18.0,9.0,12.0,1.0,3.0,140.0,93.0,56.0,24.0,19.0,15.0,20.0,53.0,705.0,39.0,840.0,0.13,0.04,0.62,0.38,0.49,0.19,20.0,17.0,0.01,0.02,0.66,0.34,0.4,0.17,2000,25-29
266,2000-580,Australian Open,Hard,G,20000117,112,102338,Yevgeny Kafelnikov,R,190.0,RUS,25.91,102905,Stefan Koubek,L,175.0,AUT,23.04,6-3 6-3 6-4,5,R32,82.0,4.0,1.0,70.0,40.0,34.0,22.0,14.0,0.0,0.0,14.0,4.0,76.0,44.0,34.0,16.0,14.0,3.0,7.0,2.0,2915.0,43.0,799.0,0.06,0.01,0.57,0.43,0.49,0.31,18.0,10.0,0.18,0.05,0.58,0.42,0.45,0.21,2000,25-29
268,2000-580,Australian Open,Hard,G,20000117,114,102271,Hicham Arazi,L,175.0,MAR,26.25,102765,Nicolas Escude,R,185.0,FRA,23.79,6-4 6-3 7-6(7),5,R16,134.0,6.0,3.0,124.0,66.0,48.0,25.0,15.0,16.0,19.0,11.0,5.0,102.0,48.0,35.0,22.0,16.0,4.0,10.0,41.0,800.0,34.0,877.0,0.05,0.02,0.53,0.47,0.39,0.2,18.0,13.0,0.11,0.05,0.47,0.53,0.34,0.22,2000,25-29
275,2000-580,Australian Open,Hard,G,20000117,121,101736,Andre Agassi,R,180.0,USA,29.72,102271,Hicham Arazi,L,175.0,MAR,26.25,6-4 6-4 6-2,5,QF,93.0,6.0,1.0,68.0,45.0,38.0,16.0,14.0,1.0,2.0,9.0,3.0,91.0,48.0,35.0,16.0,14.0,5.0,10.0,1.0,4135.0,41.0,800.0,0.09,0.01,0.66,0.34,0.56,0.24,18.0,10.0,0.1,0.03,0.53,0.47,0.38,0.18,2000,25-29
377,2000-495,Dubai,Hard,A,20000207,2,103252,Alberto Martin,R,175.0,ESP,21.47,101543,Jeff Tarango,L,180.0,USA,31.21,6-7(3) 6-2 6-2,3,R32,121.0,3.0,8.0,98.0,55.0,38.0,23.0,14.0,6.0,9.0,0.0,9.0,98.0,51.0,31.0,16.0,14.0,2.0,9.0,52.0,709.0,76.0,532.0,0.03,0.08,0.56,0.44,0.39,0.23,18.0,10.0,0.0,0.09,0.52,0.48,0.32,0.16,2000,20-24
381,2000-495,Dubai,Hard,A,20000207,6,102905,Stefan Koubek,L,175.0,AUT,23.1,102548,Juan Antonio Marin,R,175.0,CRC,24.94,6-3 6-2,3,R32,79.0,2.0,3.0,83.0,56.0,36.0,14.0,9.0,9.0,10.0,0.0,4.0,53.0,23.0,15.0,11.0,8.0,2.0,6.0,40.0,866.0,72.0,548.0,0.02,0.04,0.67,0.33,0.43,0.17,12.0,5.0,0.0,0.08,0.43,0.57,0.28,0.21,2000,20-24
388,2000-495,Dubai,Hard,A,20000207,13,102271,Hicham Arazi,L,175.0,MAR,26.3,102783,Rainer Schuettler,R,180.0,GER,23.79,6-2 6-3,3,R32,71.0,0.0,0.0,64.0,38.0,28.0,8.0,9.0,3.0,6.0,1.0,2.0,56.0,41.0,19.0,5.0,8.0,5.0,11.0,27.0,1049.0,57.0,661.0,0.0,0.0,0.59,0.41,0.44,0.12,12.0,5.0,0.02,0.04,0.73,0.27,0.34,0.09,2000,25-29
393,2000-495,Dubai,Hard,A,20000207,18,102259,Jerome Golmard,L,188.0,FRA,26.41,102318,Andrei Pavel,R,183.0,ROU,26.03,3-6 6-4 7-6(3),3,R16,117.0,8.0,3.0,98.0,63.0,44.0,24.0,16.0,4.0,7.0,8.0,5.0,93.0,53.0,42.0,20.0,15.0,3.0,5.0,33.0,950.0,61.0,631.0,0.08,0.03,0.64,0.36,0.45,0.24,15.0,16.0,0.09,0.05,0.57,0.43,0.45,0.22,2000,25-29
394,2000-495,Dubai,Hard,A,20000207,19,102610,Albert Costa,R,180.0,ESP,24.62,102905,Stefan Koubek,L,175.0,AUT,23.1,6-0 6-1,3,R16,62.0,1.0,1.0,45.0,27.0,22.0,10.0,8.0,4.0,5.0,3.0,1.0,50.0,28.0,14.0,9.0,8.0,3.0,8.0,18.0,1261.0,40.0,866.0,0.02,0.02,0.6,0.4,0.49,0.22,12.0,4.0,0.06,0.02,0.56,0.44,0.28,0.18,2000,20-24
398,2000-495,Dubai,Hard,A,20000207,23,102562,Jiri Novak,R,190.0,CZE,24.88,102271,Hicham Arazi,L,175.0,MAR,26.3,6-4 1-6 6-0,3,R16,84.0,5.0,2.0,72.0,41.0,27.0,15.0,11.0,3.0,6.0,4.0,0.0,82.0,50.0,31.0,15.0,12.0,7.0,12.0,43.0,810.0,27.0,1049.0,0.07,0.03,0.57,0.43,0.38,0.21,13.0,10.0,0.05,0.0,0.61,0.39,0.38,0.18,2000,20-24
400,2000-495,Dubai,Hard,A,20000207,25,103017,Nicolas Kiefer,R,183.0,GER,22.59,102259,Jerome Golmard,L,188.0,FRA,26.41,6-3 7-6(2),3,QF,106.0,6.0,6.0,73.0,40.0,31.0,18.0,11.0,3.0,4.0,5.0,5.0,74.0,43.0,29.0,16.0,10.0,5.0,7.0,4.0,2325.0,33.0,950.0,0.08,0.08,0.55,0.45,0.42,0.25,12.0,9.0,0.07,0.07,0.58,0.42,0.39,0.22,2000,20-24
407,2000-496,Marseille,Hard,A,20000207,1,102338,Yevgeny Kafelnikov,R,190.0,RUS,25.97,101150,Gianluca Pozzi,L,180.0,ITA,34.64,1-6 6-4 6-4,3,R32,102.0,7.0,7.0,91.0,50.0,35.0,20.0,14.0,7.0,11.0,8.0,2.0,76.0,31.0,23.0,25.0,13.0,9.0,12.0,3.0,2841.0,89.0,440.0,0.08,0.08,0.55,0.45,0.38,0.22,13.0,14.0,0.11,0.03,0.41,0.59,0.3,0.33,2000,25-29
413,2000-496,Marseille,Hard,A,20000207,7,101733,Jan Siemerink,L,183.0,NED,29.82,101703,Guillaume Raoux,R,180.0,FRA,29.98,7-6(4) 2-6 7-6(6),3,R32,151.0,13.0,10.0,125.0,68.0,55.0,27.0,16.0,6.0,8.0,6.0,3.0,113.0,53.0,41.0,39.0,16.0,3.0,3.0,91.0,436.0,186.0,189.0,0.1,0.08,0.54,0.46,0.44,0.22,14.0,18.0,0.05,0.03,0.47,0.53,0.36,0.35,2000,25-29
415,2000-496,Marseille,Hard,A,20000207,9,103714,Andreas Vinciguerra,L,180.0,SWE,18.97,103498,Marat Safin,R,193.0,RUS,20.03,6-3 6-3,3,R32,70.0,2.0,3.0,60.0,31.0,23.0,19.0,9.0,1.0,1.0,9.0,2.0,52.0,21.0,17.0,12.0,9.0,1.0,4.0,84.0,476.0,23.0,1124.0,0.03,0.05,0.52,0.48,0.38,0.32,12.0,6.0,0.17,0.04,0.4,0.6,0.33,0.23,2000,<20
420,2000-496,Marseille,Hard,A,20000207,14,101820,Marc Rosset,R,201.0,SUI,29.25,101885,Wayne Arthurs,L,190.0,AUS,28.89,6-3 6-3,3,R32,65.0,10.0,1.0,40.0,27.0,26.0,10.0,9.0,0.0,0.0,5.0,6.0,71.0,27.0,17.0,22.0,9.0,2.0,5.0,77.0,524.0,106.0,370.0,0.25,0.02,0.68,0.32,0.65,0.25,12.0,6.0,0.07,0.08,0.38,0.62,0.24,0.31,2000,25-29
421,2000-496,Marseille,Hard,A,20000207,15,101964,Goran Ivanisevic,L,193.0,CRO,28.4,102642,Cyril Saulnier,R,190.0,FRA,24.48,6-7(2) 7-6(11) 6-0,3,R32,126.0,23.0,10.0,99.0,49.0,44.0,26.0,15.0,1.0,2.0,15.0,8.0,95.0,46.0,38.0,25.0,15.0,3.0,7.0,63.0,609.0,167.0,224.0,0.23,0.1,0.49,0.51,0.44,0.26,18.0,12.0,0.16,0.08,0.48,0.52,0.4,0.26,2000,25-29
426,2000-496,Marseille,Hard,A,20000207,20,102148,Fabrice Santoro,R,178.0,FRA,27.16,101733,Jan Siemerink,L,183.0,NED,29.82,6-4 1-6 6-2,3,R16,104.0,0.0,1.0,80.0,56.0,37.0,14.0,12.0,8.0,10.0,7.0,5.0,76.0,40.0,30.0,19.0,13.0,4.0,7.0,38.0,908.0,91.0,436.0,0.0,0.01,0.7,0.3,0.46,0.18,13.0,12.0,0.09,0.07,0.53,0.47,0.39,0.25,2000,25-29
427,2000-496,Marseille,Hard,A,20000207,21,103714,Andreas Vinciguerra,L,180.0,SWE,18.97,102831,Jacobo Diaz,R,173.0,ESP,23.58,7-6(5) 6-2,3,R16,80.0,7.0,0.0,74.0,42.0,34.0,13.0,10.0,2.0,4.0,3.0,3.0,59.0,26.0,20.0,14.0,10.0,3.0,7.0,84.0,476.0,87.0,450.0,0.09,0.0,0.57,0.43,0.46,0.18,12.0,8.0,0.05,0.05,0.44,0.56,0.34,0.24,2000,<20
430,2000-496,Marseille,Hard,A,20000207,24,101964,Goran Ivanisevic,L,193.0,CRO,28.4,102358,Thomas Enqvist,R,190.0,SWE,25.91,6-4 6-3,3,R16,58.0,11.0,4.0,44.0,22.0,20.0,17.0,9.0,2.0,2.0,6.0,9.0,56.0,31.0,25.0,7.0,10.0,3.0,6.0,63.0,609.0,12.0,1489.0,0.25,0.09,0.5,0.5,0.45,0.39,12.0,7.0,0.11,0.16,0.55,0.45,0.45,0.12,2000,25-29
433,2000-496,Marseille,Hard,A,20000207,27,103206,Sebastien Grosjean,R,175.0,FRA,21.69,103714,Andreas Vinciguerra,L,180.0,SWE,18.97,6-4 6-4,3,QF,84.0,3.0,0.0,67.0,31.0,23.0,17.0,10.0,3.0,5.0,3.0,2.0,56.0,33.0,23.0,8.0,10.0,3.0,7.0,20.0,1187.0,84.0,476.0,0.04,0.0,0.46,0.54,0.34,0.25,12.0,8.0,0.05,0.04,0.59,0.41,0.41,0.14,2000,20-24
434,2000-496,Marseille,Hard,A,20000207,28,101820,Marc Rosset,R,201.0,SUI,29.25,101964,Goran Ivanisevic,L,193.0,CRO,28.4,6-4 3-6 6-2,3,QF,105.0,12.0,7.0,84.0,47.0,37.0,16.0,13.0,7.0,10.0,22.0,8.0,93.0,50.0,38.0,15.0,14.0,14.0,19.0,77.0,524.0,63.0,609.0,0.14,0.08,0.56,0.44,0.44,0.19,15.0,12.0,0.24,0.09,0.54,0.46,0.41,0.16,2000,25-29
438,2000-424,San Jose,Hard,A,20000207,1,101185,Mark Woodforde,L,188.0,AUS,34.37,102795,Scott Humphries,R,185.0,USA,23.7,6-4 6-4,3,R32,80.0,3.0,1.0,60.0,32.0,21.0,17.0,10.0,0.0,2.0,4.0,1.0,59.0,33.0,20.0,14.0,10.0,3.0,7.0,125.0,318.0,584.0,28.0,0.05,0.02,0.53,0.47,0.35,0.28,12.0,8.0,0.07,0.02,0.56,0.44,0.34,0.24,2000,30-34
441,2000-424,San Jose,Hard,A,20000207,4,101965,Wayne Ferreira,R,185.0,RSA,28.4,102269,Jeff Salzenstein,L,185.0,USA,26.32,6-4 6-4,3,R32,84.0,8.0,2.0,67.0,37.0,27.0,19.0,10.0,6.0,7.0,0.0,6.0,73.0,43.0,27.0,14.0,10.0,4.0,7.0,53.0,707.0,698.0,16.0,0.12,0.03,0.55,0.45,0.4,0.28,12.0,8.0,0.0,0.08,0.59,0.41,0.37,0.19,2000,25-29
445,2000-424,San Jose,Hard,A,20000207,8,102025,Mikael Tillstrom,R,185.0,SWE,27.93,102644,Franco Squillari,L,183.0,ARG,24.46,7-5 7-5,3,R32,96.0,4.0,4.0,66.0,37.0,28.0,15.0,12.0,3.0,6.0,4.0,3.0,102.0,52.0,36.0,19.0,12.0,13.0,18.0,79.0,499.0,46.0,778.0,0.06,0.06,0.56,0.44,0.42,0.23,14.0,10.0,0.04,0.03,0.51,0.49,0.35,0.19,2000,25-29
446,2000-424,San Jose,Hard,A,20000207,9,101793,Jim Courier,R,185.0,USA,29.48,102558,Eric Taino,L,175.0,PHI,24.89,6-3 6-4,3,R32,68.0,11.0,0.0,55.0,28.0,24.0,17.0,10.0,1.0,2.0,1.0,1.0,59.0,37.0,26.0,8.0,9.0,2.0,5.0,44.0,809.0,397.0,64.0,0.2,0.0,0.51,0.49,0.44,0.31,12.0,7.0,0.02,0.02,0.63,0.37,0.44,0.14,2000,25-29
454,2000-424,San Jose,Hard,A,20000207,17,101723,Magnus Larsson,R,193.0,SWE,29.87,101185,Mark Woodforde,L,188.0,AUS,34.37,6-3 3-6 6-3,3,R16,100.0,6.0,3.0,89.0,58.0,38.0,20.0,14.0,9.0,11.0,5.0,1.0,78.0,49.0,36.0,14.0,13.0,8.0,11.0,82.0,480.0,125.0,318.0,0.07,0.03,0.65,0.35,0.43,0.22,15.0,12.0,0.06,0.01,0.63,0.37,0.46,0.18,2000,25-29
469,2000-402,Memphis,Hard,A,20000214,1,102053,Brian Macphie,L,180.0,USA,27.76,102455,Lorenzo Manta,R,190.0,SUI,25.41,6-3 3-6 6-3,3,R64,88.0,13.0,3.0,84.0,48.0,35.0,23.0,14.0,5.0,6.0,7.0,6.0,73.0,43.0,33.0,16.0,13.0,1.0,3.0,419.0,59.0,104.0,372.0,0.15,0.04,0.57,0.43,0.42,0.27,15.0,12.0,0.1,0.08,0.59,0.41,0.45,0.22,2000,25-29
476,2000-402,Memphis,Hard,A,20000214,8,102133,Laurence Tieleman,R,180.0,ITA,27.25,103184,Bob Bryan,L,193.0,USA,21.8,6-4 3-6 6-3,3,R64,86.0,7.0,2.0,87.0,45.0,34.0,25.0,14.0,5.0,6.0,8.0,5.0,76.0,47.0,35.0,17.0,14.0,0.0,2.0,97.0,398.0,193.0,181.0,0.08,0.02,0.52,0.48,0.39,0.29,15.0,13.0,0.11,0.07,0.62,0.38,0.46,0.22,2000,25-29
480,2000-402,Memphis,Hard,A,20000214,12,101185,Mark Woodforde,L,188.0,AUS,34.39,103031,Julian Alonso,R,185.0,ESP,22.54,6-4 6-2,3,R64,74.0,4.0,3.0,59.0,38.0,28.0,8.0,9.0,5.0,7.0,3.0,6.0,72.0,44.0,25.0,11.0,9.0,11.0,16.0,125.0,300.0,116.0,341.0,0.07,0.05,0.64,0.36,0.47,0.14,12.0,6.0,0.04,0.08,0.61,0.39,0.35,0.15,2000,30-34
484,2000-402,Memphis,Hard,A,20000214,16,102269,Jeff Salzenstein,L,185.0,USA,26.34,102966,Fredrik Jonsson,R,193.0,SWE,22.88,7-6 6-1(4),3,R64,91.0,17.0,2.0,79.0,44.0,35.0,20.0,11.0,4.0,4.0,3.0,1.0,57.0,36.0,25.0,15.0,10.0,0.0,1.0,596.0,26.0,122.0,320.0,0.22,0.03,0.56,0.44,0.44,0.25,12.0,9.0,0.05,0.02,0.63,0.37,0.44,0.26,2000,25-29
485,2000-402,Memphis,Hard,A,20000214,17,102882,Mark Philippoussis,R,196.0,AUS,23.27,102053,Brian Macphie,L,180.0,USA,27.76,6-2 6-4,3,R32,67.0,15.0,3.0,61.0,33.0,29.0,13.0,9.0,4.0,4.0,13.0,1.0,57.0,33.0,22.0,12.0,9.0,5.0,8.0,16.0,1349.0,419.0,59.0,0.25,0.05,0.54,0.46,0.48,0.21,12.0,6.0,0.23,0.02,0.58,0.42,0.39,0.21,2000,20-24
496,2000-402,Memphis,Hard,A,20000214,28,102162,Chris Woodruff,R,188.0,USA,27.12,101185,Mark Woodforde,L,188.0,AUS,34.39,3-6 7-5 6-3,3,R32,125.0,8.0,3.0,90.0,60.0,42.0,12.0,15.0,3.0,6.0,3.0,3.0,101.0,59.0,41.0,19.0,15.0,9.0,13.0,37.0,925.0,125.0,300.0,0.09,0.03,0.67,0.33,0.47,0.13,16.0,14.0,0.03,0.03,0.58,0.42,0.41,0.19,2000,25-29
500,2000-402,Memphis,Hard,A,20000214,32,103163,Tommy Haas,R,188.0,GER,21.87,102269,Jeff Salzenstein,L,185.0,USA,26.34,6-2 2-6 6-4,3,R32,93.0,8.0,1.0,77.0,53.0,40.0,14.0,13.0,7.0,9.0,7.0,2.0,82.0,49.0,36.0,15.0,13.0,3.0,6.0,21.0,1239.0,596.0,26.0,0.1,0.01,0.69,0.31,0.52,0.18,14.0,12.0,0.09,0.02,0.6,0.4,0.44,0.18,2000,20-24
518,2000-407,Rotterdam,Hard,A,20000214,3,102029,Filip Dewulf,R,190.0,BEL,27.92,101964,Goran Ivanisevic,L,193.0,CRO,28.42,6-3 2-6 6-4,3,R32,78.0,5.0,4.0,72.0,43.0,32.0,16.0,14.0,0.0,3.0,16.0,5.0,72.0,37.0,33.0,15.0,13.0,8.0,11.0,280.0,109.0,61.0,648.0,0.07,0.06,0.6,0.4,0.44,0.22,14.0,13.0,0.22,0.07,0.51,0.49,0.46,0.21,2000,25-29
519,2000-407,Rotterdam,Hard,A,20000214,4,102257,Greg Rusedski,L,193.0,GBR,26.44,102344,Karol Kucera,R,188.0,SVK,25.95,6-2 7-5,3,R32,93.0,9.0,6.0,70.0,36.0,26.0,18.0,10.0,6.0,7.0,6.0,7.0,61.0,27.0,20.0,14.0,10.0,2.0,6.0,13.0,1433.0,29.0,1047.0,0.13,0.09,0.51,0.49,0.37,0.26,13.0,7.0,0.1,0.11,0.44,0.56,0.33,0.23,2000,25-29
524,2000-407,Rotterdam,Hard,A,20000214,9,101733,Jan Siemerink,L,183.0,NED,29.84,102358,Thomas Enqvist,R,190.0,SWE,25.92,6-3 7-6(5),3,R32,85.0,13.0,7.0,71.0,40.0,36.0,18.0,11.0,2.0,2.0,6.0,7.0,70.0,33.0,27.0,21.0,10.0,6.0,7.0,98.0,397.0,12.0,1503.0,0.18,0.1,0.56,0.44,0.51,0.25,12.0,9.0,0.09,0.1,0.47,0.53,0.39,0.3,2000,25-29
525,2000-407,Rotterdam,Hard,A,20000214,10,102259,Jerome Golmard,L,188.0,FRA,26.43,103151,Mariano Zabaleta,R,183.0,ARG,21.96,6-2 6-3,3,R32,68.0,4.0,2.0,47.0,22.0,14.0,15.0,8.0,1.0,3.0,0.0,4.0,54.0,20.0,13.0,11.0,9.0,4.0,10.0,49.0,731.0,33.0,994.0,0.09,0.04,0.47,0.53,0.3,0.32,12.0,5.0,0.0,0.07,0.37,0.63,0.24,0.2,2000,25-29
533,2000-407,Rotterdam,Hard,A,20000214,18,102257,Greg Rusedski,L,193.0,GBR,26.44,102029,Filip Dewulf,R,190.0,BEL,27.92,7-6(3) 6-4,3,R16,84.0,16.0,8.0,80.0,47.0,37.0,14.0,11.0,4.0,5.0,3.0,2.0,76.0,50.0,34.0,13.0,11.0,4.0,6.0,13.0,1433.0,280.0,109.0,0.2,0.1,0.59,0.41,0.46,0.18,12.0,10.0,0.04,0.03,0.66,0.34,0.45,0.17,2000,25-29
540,2000-407,Rotterdam,Hard,A,20000214,25,102338,Yevgeny Kafelnikov,R,190.0,RUS,25.99,102257,Greg Rusedski,L,193.0,GBR,26.44,6-7(3) 6-4 6-4,3,QF,124.0,8.0,4.0,104.0,56.0,47.0,28.0,16.0,3.0,4.0,14.0,7.0,105.0,59.0,45.0,23.0,16.0,5.0,8.0,2.0,2841.0,13.0,1433.0,0.08,0.04,0.54,0.46,0.45,0.27,18.0,14.0,0.13,0.07,0.56,0.44,0.43,0.22,2000,25-29
542,2000-407,Rotterdam,Hard,A,20000214,27,102259,Jerome Golmard,L,188.0,FRA,26.43,102796,Magnus Norman,R,188.0,SWE,23.71,6-4 6-3,3,QF,74.0,6.0,2.0,49.0,22.0,20.0,17.0,9.0,0.0,0.0,9.0,1.0,62.0,37.0,24.0,13.0,10.0,4.0,7.0,49.0,731.0,5.0,2078.0,0.12,0.04,0.45,0.55,0.41,0.35,12.0,7.0,0.15,0.02,0.6,0.4,0.39,0.21,2000,25-29
545,2000-407,Rotterdam,Hard,A,20000214,30,101611,Cedric Pioline,R,188.0,FRA,30.67,102259,Jerome Golmard,L,188.0,FRA,26.43,6-3 6-4,3,SF,73.0,13.0,1.0,51.0,23.0,23.0,17.0,10.0,0.0,0.0,7.0,1.0,54.0,39.0,25.0,9.0,9.0,0.0,2.0,15.0,1375.0,49.0,731.0,0.25,0.02,0.45,0.55,0.45,0.33,12.0,7.0,0.13,0.02,0.72,0.28,0.46,0.17,2000,30-34
550,2000-408,London,Hard,A,20000221,4,102271,Hicham Arazi,L,175.0,MAR,26.34,102998,Jan Michael Gambill,R,190.0,USA,22.72,6-4 7-5,3,R32,71.0,3.0,2.0,66.0,39.0,35.0,13.0,11.0,1.0,1.0,9.0,1.0,59.0,41.0,30.0,11.0,11.0,3.0,5.0,27.0,1051.0,60.0,659.0,0.05,0.03,0.59,0.41,0.53,0.2,13.0,9.0,0.15,0.02,0.69,0.31,0.51,0.19,2000,25-29
553,2000-408,London,Hard,A,20000221,7,102259,Jerome Golmard,L,188.0,FRA,26.45,103507,Juan Carlos Ferrero,R,183.0,ESP,20.02,6-2 6-2,3,R32,68.0,4.0,3.0,48.0,22.0,18.0,17.0,8.0,3.0,3.0,2.0,4.0,55.0,24.0,15.0,13.0,8.0,4.0,8.0,43.0,805.0,26.0,1055.0,0.08,0.06,0.46,0.54,0.38,0.35,12.0,4.0,0.04,0.07,0.44,0.56,0.27,0.24,2000,25-29
554,2000-408,London,Hard,A,20000221,8,102257,Greg Rusedski,L,193.0,GBR,26.46,103096,Arnaud Clement,R,173.0,FRA,22.18,6-3 6-4,3,R32,68.0,12.0,2.0,52.0,30.0,26.0,10.0,10.0,0.0,2.0,2.0,3.0,53.0,32.0,18.0,9.0,9.0,1.0,5.0,15.0,1379.0,54.0,710.0,0.23,0.04,0.58,0.42,0.5,0.19,12.0,7.0,0.04,0.06,0.6,0.4,0.34,0.17,2000,25-29
